Timestamp,Value
2023-07-11 13:00:54,1509.040857
2023-07-11 13:01:54,1509.245512
2023-07-11 13:02:54,1509.566397
2023-07-11 13:03:54,1509.975747
2023-07-11 13:04:54,1510.593893
2023-07-11 13:05:54,1511.215575
2023-07-11 13:06:54,1512.242911
2023-07-11 13:07:54,1513.124287
2023-07-11 13:08:54,1514.043097
2023-07-11 13:09:54,1515.140521
2023-07-11 13:10:54,1523.288415
2023-07-11 13:11:54,1524.505009
2023-07-11 13:12:54,1525.752177
2023-07-11 13:13:54,1527.355935
2023-07-11 13:14:54,1528.887678
2023-07-11 13:15:54,1530.49828
2023-07-11 13:16:54,1532.172698
